Year,Rate,
1975,5.8531,
1976,5.8213,
1977,6.1728,
1978,5.7624,
1979,6.1235,
1980,6.3021,
1981,6.51,
1982,6.4271,
1983,6.3084,
1984,6.119,
1985,6.9428,
1986,6.8492,
1987,6.9924,
1988,6.8271,
1989,6.8629,
1990,7.0549,
1991,6.9605,
1992,6.9798,
1993,6.7667,
1994,6.6284,
1995,6.5003,
1996,6.6859,
1997,6.7676,
1998,6.6396,
1999,6.92,
2000,6.818,
2001,6.6475,
2002,6.7595,
2003,6.6642,
2004,6.854,
2005,6.7668,
2006,6.4296,
2007,6.6146,
2008,6.7223,
2009,6.8435,
2010,6.56,
2011,6.6558,
2012,6.4961,
2013,6.5068,
2014,6.2168,
